Date,Article Title,Opperative,City/Town,State/Provence,Country,Reference,WB?,Affected,Duration,Infrastructure,Holiday,Fire / Death / Notes,Species,Alt URL
2017-08-09,Transformer Fire Causes Massive Outage in Southeast Rochester,unknown,Rochester,,United States,http://www.kaaltv.com/news/transformer-fire-causes-massive-outage-in-southeast-rochester/4567578/,Y,-,-,,,fire,,
2017-08-08,Ratte legt österreichisches Kraftwerk lahm,Rat,Styria,,Austria,http://www.20min.ch/wissen/news/story/18314461,Y,-,-,,,fire,,
2017-08-08,Power restored near Soldiers Field area that was out. Cause was a squirrel. ,Squirrel,Rochester,MN,United States,https://twitter.com/rpuoutages/status/894928957610622976,Y,-,-,,,,,
2017-08-07,"Raccoon Chews Through Power Line, Causes Pennsylvania Outage",Raccoon,Canonsburg,PA,United States,https://www.usnews.com/news/best-states/pennsylvania/articles/2017-08-07/raccoon-chews-through-power-line-causes-pennsylvania-outage,Y,700,-,,,,,
2017-08-06,Power outage has left downtown Fort Meade in the dark again,Squirrel,Ft. Meade,FL,United States,http://www.theledger.com/news/20170807/power-outage-has-left-downtown-fort-meade-in-dark-again,Y,-,-,,,,,
2017-08-06,Power outage has left downtown Fort Meade in the dark again,Bird,Ft. Meade,FL,United States,http://www.theledger.com/news/20170807/power-outage-has-left-downtown-fort-meade-in-dark-again,Y,-,-,,,,Buzzard,
2017-08-06,Power outage has left downtown Fort Meade in the dark again,Bird,Ft. Meade,FL,United States,http://www.theledger.com/news/20170807/power-outage-has-left-downtown-fort-meade-in-dark-again,Y,-,-,,,,,
2017-08-06,All power was restored at 8:32 a.m. Outage cause: Squirrel. The squirrel did not survive.,Squirrel,Kissimmee,FL,United States,https://twitter.com/KUAdirect/status/894175860303028225,Y,-,-,,,,,
2017-08-06,"Bobcat’s fateful climb cuts power to 3,530 Cambria residents",Bobcat,Cambria,CA,United States,http://www.sanluisobispo.com/news/local/community/cambrian/article166057042.html,Y,3530,60,,,,,
2017-08-03,A rat at the origin of a series of power cuts in Gardanne,Rat,Gardanne,,France,http://www.laprovence.com/article/edition-aix-pays-daix/4564408/un-rat-a-lorigine-dune-serie-de-coupures-de-courant.html,Y,-,-,,,,,
2017-08-02,Cat climbing power pole starts fire north of Ephrata,Cat,Ephrata,WA,United States,http://www.spokesman.com/stories/2017/aug/02/cat-climbing-power-pole-starts-fire-north-of-ephra/#/0,Y,-,-,,,fire,,http://www.kiro7.com/news/local/cats-and-squirrels-are-causing-washington-fires/580928078
2017-08-02,Power is back in Mill Creek. Thanks everyone! Cause of the outage was a Squirrel,Squirrel,Mill Creek,WA,United States,https://twitter.com/snopud/status/892809872974110720,Y,-,-,,,,,
2017-08-02,We experienced an outage last night off Baum Road caused by a squirrel.  It ended up burning out the top of the pole.,Squirrel,Waterloo,IL,United States,https://twitter.com/MCECooperative/status/892744478351601665,Y,-,-,,,,,
2017-08-02,"A goose flew into a power line in Virginia Beach, leaving more than 7,000 without power",Bird,Virgina Beach,VA,United States,https://pilotonline.com/news/local/goose-caused-a-power-outage-for-about-in-virginia-beach/article_4a50c298-9886-5e2b-af66-46110d0e8b22.html,Y,7300,-,,,,Goose,
2017-08-02,Snakes causes power outage in Green Valley,Snake,Green Valley,AZ,United States,http://www.gvnews.com/news/snakes-causes-power-outage-in-green-valley/article_d55da46e-77cc-11e7-b54d-9f2bac820de6.html,Y,1770,-,,,,,
2017-08-01,"2,000 customers of Craighead Electric without power, officials say",Snake,Jonesboro,AR,United States,http://www.kait8.com/story/36027683/2000-customers-of-craighead-electric-without-power-officials-say,Y,2000,-,,,,,
2017-08-01,Bryan Power Outage Leaves Aprox. 650 People Without Power,Bird,Bryan,TX,United States,http://www.kagstv.com/news/local/bryan-power-outage-leaves-aprox-650-people-without-power/461170542,Y,650,-,,,,,
2017-07-31,"Wildlife blamed for power outage affecting 1,500 in Dufferin County, Caledon",unknown,East Garafraxa,ON,Canada,https://www.orangeville.com/news-story/7479741-wildlife-blamed-for-power-outage-affecting-1-500-in-dufferin-county-caledon/,Y,-,-,,,,,
2017-07-31,Electrocuted squirrel ignites small fire at Anaconda Hills,Squirrel,Black Eagle,MT,United States,http://www.greatfallstribune.com/story/news/2017/08/01/electrocuted-squirrel-ignites-small-fire-anaconda-hills/527936001/,E,-,-,,,fire,Dove,
2017-07-31,Local power outage caused by birds,Bird,Brawley,CA,United States,http://www.kyma.com/news/local-power-outage-caused-by-birds/596392464,Y,-,-,hospital,,,,
2017-07-31,Monday morning power outage caused by birds in an Auburn substation,Bird,Auburn,KY,United States,http://www.wbko.com/content/news/Monday-morning-power-outage-caused-by-birds-in-an-Auburn-substation-437761553.html,Y,2700,-,,,,,
2017-07-29,Lizard sparks brief power outage in Lake Worth,Lizard,Lake Worth,FL,United States,http://cbs12.com/news/local/lizard-sparks-brief-power-outage-in-lake-worth,Y,1300,-,,,,,
2017-07-28,Crews work quickly after bird pecks through power pole in Snohomish Co.,Bird,Snohomish,WA,United States,http://komonews.com/news/local/crews-work-quickly-after-bird-chews-through-power-pole-in-snohomish-co,Y,-,-,,,,,
2017-07-28,Hundreds without power for an hour in Enid Friday morning,Squirrel,Enid,OK,United States,http://www.enidnews.com/news/local_news/hundreds-without-power-for-an-hour-in-enid-friday-morning/article_545c57aa-73a5-11e7-adf5-d359b4cc85da.html,B,1900,-,,,,,
2017-07-27,Raccoon provides for massive nighttime retirement in Berlin,Raccoon,Berlin,,Germany,https://translate.google.com/translate?depth=1&hl=en&nv=1&rurl=translate.google.com&sl=auto&sp=nmt4&tl=en&u=https://www.rbb-online.de/panorama/beitrag/2017/07/knall-laerm-west-berlin-nacht-kraftwerk-waschbaer.html,Y,-,-,,,,,https://www.thetimes.co.uk/article/Raccoon-caused-explosion-at-berlin-siemensstadt-power-station-lkq0n3jwk
2017-07-27,Brisbane train delays resolved: possum responsible for power fault at Roma Street station,Possum,Brisbane,QLD,Australia,http://mobile.abc.net.au/news/2017-07-27/roma-street-train-delays/8747518?pfmredir=sm,B,-,-,,,train,,
2017-07-27,Outage restored in NE OKC. Caused by a squirrel in the substation.,Squirrel,Oklahoma City,OK,United States,https://twitter.com/ogande/status/890560144538468352,Y,-,-,,,,,http://newsok.com/article/5557853
2017-07-27,"HUNGRY SQUIRREL CAUSES POWER OUTAGE FOR 4,600 IN PRESCOTT VALLEY",Squirrel,Prescott Valley,AZ,United States,http://www.12news.com/mobile/article/news/local/arizona/hungry-squirrel-causes-power-outage-for-4600-in-prescott-valley/460014533,Y,4600,,,,,,
2017-07-27,Bird Causes Los Altos Hills Power Outage: PG&E,Bird,Los Altos Hills,CA,United States,https://patch.com/california/losaltos/thousands-without-power-los-altos-hills-area,Y,2130,58,,,,,
2017-07-26,UPDATE: Raccoon caused Wednesday night power outage in Marathon Co.,Raccoon,Cleveland,WI,United States,http://www.wsaw.com/content/news/1000-residents-in-Marathon-County-currently-without-power-cause-unknown-436870363.html,B,1200,75,,,,,
2017-07-25,Squirrel blamed for outage that left 45K without power,Squirrel,San Diego,CA,United States,http://www.sandiegouniontribune.com/news/public-safety/sd-me-power-outage-20170725-story.html,Y,45000,-,,,,,
2017-07-25,Update: Power Restored To 2400 Homes,Bird,Vernon,BC,Canada,http://www.1075kiss.com/2017/07/25/power-outage/,Y,2400,-,,,,,
2017-07-25,Power outage leaves Maricopa neighborhood without A/C,Bird,Maricopa,AZ,United States,http://www.pinalcentral.com/maricopa_monitor/news/power-outage-leaves-maricopa-neighborhood-without-a-c/article_e4820106-4838-5885-a9b1-06f7c5e49e02.html,Y,243,-,,,,,
2017-07-24,"Over 9,000 were affected by power failure - due to a pigeon",Bird,Karlstad,,Sweden,https://www.metro.se/artikel/%C3%B6ver-9-000-drabbades-av-str%C3%B6mavbrott-p%C3%A5-grund-av-en-duva,Y,9000,18,,,,pigeon,
2017-07-24,"Bird causes power outage in Ste. Genevieve County, MO",Bird,Ste. Genevieve.,MO,United States,http://m.kfvs12.com/kfvs12/db_349220/contentdetail.htm?contentguid=3hUsDQve,B,1195,60,,,,,
2017-07-23,It appears an animal got too close to our equipment. Crews should have the outage restored around 1030 am.,unknown,Gahanna,OH,United States,https://twitter.com/AEPOhio/status/889110506690273281,Y,-,-,,,,,
2017-07-23,Squirrel causes power outage in Urbana,Squirrel,Urbana,MD,United States,https://www.fredericknewspost.com/news/disasters_and_accidents/squirrel-causes-power-outage-in-urbana/article_19271f66-2d8b-5503-b653-7c0d802470e2.html,Y,3000,-,,,,,
2017-07-23,"Bella Vista fire, power outage sparked by bald eagle",Bird,Bella Vista,CA,United States,http://www.redding.com/story/news/2017/07/23/vegetation-fire-power-outage-reported-bella-vista/503032001/,Y,1120,-,,,fire,Bald Eagle,
2017-07-23,UPDATED: Power restored in Wellfleet after 12 hours; new outage in Orleans,Squirrel,Wellfleet,MA,United States,http://www.capecod.com/cape-wide-news/large-power-outage-in-wellfleeet/,Y,830,-,,,,,
2017-07-20,"Snake knocks out power for 22,000 customers in Jacksonville",Snake,Jacksonville,FL,United States,http://www.actionnewsjax.com/news/local/snake-knocks-out-power-for-22000-customers-in-jacksonville/565379150,Y,22000,-,,,,red rat snake,http://www.ajc.com/news/weird-news/snake-knocks-out-power-for-000-customers-florida/8JCp02fnsgDZ77IB0zaNQM/
2017-07-20,Crow Causes Power Outage For Nearly 8K In Falmouth,Bird,Falmouth,MA,United States,https://www.capenews.net/falmouth/news/crow-causes-power-outage-for-nearly-k-in-falmouth/article_a87d84c6-0189-551b-ac0e-d8a40cb66623.html,B,8000,3600,traffic lights,,,Crow,
2017-07-20,"Rat gets zapped, 1850 people lose power",Rat,Chincilla,QLD,Australia,https://m.chinchillanews.com.au/news/rat-gets-zapped-1850-people-lose-power/3202673/,Y,1850,65,,,,,
